size,loading_sizes
1850904000.0,1920000000.0
37156409704.0,96462080000.0
16335596000.0,36600000000.0
23310000000.0,89379200000.0
3717792000.0,28456540000.0
1843072000.0,2400000000.0
29921967000.0,86998359000.0
30026384820.0,59019000000.0
2464313000.0,3358928000.0
63165150000.0,76351414272.0
47578635900.0,96462080000.0
31499925000.0,86998359000.0
42828030000.0,67493744640.0
542880000.0,1920000000.0
9552219000.0,54880000000.0
1670709000.0,2563000000.0
24576000000.0,91199520000.0
1771056000.0,2563000000.0
158100000.0,1920000000.0
8760496000.0,86998359000.0
4630874000.0,17313038400.0
1688740000.0,2400000000.0
1289307000.0,1728000000.0
58080000000.0,67493744640.0
723618000.0,1920000000.0
19171000000.0,37426915008.0
1357200000.0,1440000000.0
33711465200.0,96462080000.0
1532160000.0,3029000000.0
4013246000.0,66833000000.0
1632960000.0,1920000000.0
1226880000.0,3029000000.0
1319500000.0,1680000000.0
37156409704.0,96462080000.0
32425452960.0,48440044800.0
67619466000.0,86998359000.0
43560000000.0,96462080000.0
1569086877.0,1920000000.0
39735000000.0,96462080000.0
5897536000.0,12831088200.0
6774000000.0,33195925728.0
1107073010.0,1728000000.0
52600000000.0,76351414272.0
8990000000.0,33195925728.0
11520000000.0,39325000000.0
79200000000.0,96462080000.0
78432000000.0,86998359000.0
2880000000.0,21008260000.0
797500000.0,1920000000.0
1419293479.0,1728000000.0
67334463200.0,86998359000.0
2000000.0,40302500000.0
874368000.0,1920000000.0
30401220000.0,86998359000.0
67334463200.0,86998359000.0
12342415000.0,76351414272.0
51094392000.0,86998359000.0
14748818440.0,38836800000.0
55800000000.0,86998359000.0
654720000.0,1920000000.0
39735000000.0,96462080000.0
60480000000.0,76351414272.0
76260000000.0,86998359000.0
13250000000.0,67493744640.0
38443205752.0,86998359000.0
61559750000.0,89379200000.0
1124801725.0,1728000000.0
18144340000.0,86998359000.0
52304000000.0,86496000000.0
16575335440.0,38836800000.0
74159294863.0,76351414272.0
13569120000.0,38836800000.0
10000000.0,40302500000.0
54912000000.0,96462080000.0
24247000000.0,89379200000.0
71260500000.0,86998359000.0
2317081000.0,2990000000.0
308107800.0,1920000000.0
1595000000.0,1920000000.0
10740600000.0,96462080000.0
1584800000.0,2563000000.0
1527908000.0,2420000000.0
71820000000.0,96462080000.0
2464313000.0,3358928000.0
1107073010.0,1728000000.0
13309988000.0,33195925728.0
1513395000.0,2208000000.0
1350389132.0,1728000000.0
44716000000.0,67493744640.0
40432000000.0,86496000000.0
5897536000.0,12831088200.0
1721566000.0,1920000000.0
66629376000.0,76351414272.0
11558320000.0,67720138752.0
4630874000.0,76351414272.0
35576110200.0,89379200000.0
32760000000.0,96462080000.0
11358550000.0,48440044800.0
21275452960.0,28456540000.0
36000000000.0,67720138752.0
2882376000.0,2990000000.0
4727483600.0,17313038400.0
22051000000.0,67493744640.0
36504000000.0,67493744640.0
1163217000.0,2563000000.0
43470000000.0,75498943400.0
56000000.0,96000000.0
18734240000.0,96462080000.0
22315000000.0,37426915008.0
55080000000.0,96462080000.0
1289307000.0,1728000000.0
64371630000.0,96462080000.0
5658912000.0,12831088200.0
453618000.0,1920000000.0
3742452000.0,4752000000.0
1000000000.0,1920000000.0
4773750000.0,86998359000.0
654720000.0,912000000.0
16959375000.0,86998359000.0
1226880000.0,3029000000.0
4897957200.0,33195925728.0
1628080000.0,2208000000.0
1764180000.0,2400000000.0
1867516000.0,2400000000.0
5009017260.0,80337950000.0
35795836320.0,96462080000.0
2464313000.0,3358928000.0
14951169841.0,96462080000.0
45192000000.0,76351414272.0
3742452000.0,4752000000.0
10500000000.0,89379200000.0
13899600000.0,33195925728.0
47112780000.0,96462080000.0
17280000.0,22302000.0
32758040000.0,96462080000.0
29373750000.0,86998359000.0
12656000000.0,96462080000.0
1867516000.0,2400000000.0
1538693400.0,2400000000.0
1198712581.0,1728000000.0
57231250000.0,96462080000.0
1850904000.0,1920000000.0
52349634000.0,76351414272.0
121593073000.0,232560000000.0
71682810000.0,86998359000.0
2464313000.0,2990000000.0
4102243200.0,24000000000.0
57112250000.0,96462080000.0
28283508000.0,67493744640.0
18398220000.0,33195925728.0
63724872000.0,76608000000.0
47327505000.0,96462080000.0
1890000000.0,1920000000.0
1108800000.0,1920000000.0
16435200000.0,86998359000.0
1124801725.0,1728000000.0
20241760000.0,33195925728.0
2983728000.0,24000000000.0
8954400000.0,33195925728.0
18787922400.0,48440044800.0
47190000000.0,78948401152.0
1890000000.0,1920000000.0
45977845000.0,89379200000.0
32425452960.0,89379200000.0
774929100.0,1920000000.0
71312154000.0,96462080000.0
63077016000.0,86998359000.0
9358104000.0,76351414272.0
17184000000.0,66833000000.0
1608967000.0,2208000000.0
63780062680.0,86998359000.0
70364000000.0,78948401152.0
11248000000.0,86496000000.0
1110910433.0,1728000000.0
38080000000.0,57134000000.0
68048646000.0,96462080000.0
44885750000.0,86496000000.0
13142000000.0,96462080000.0
33595630400.0,86998359000.0
26820790000.0,33195925728.0
60624000000.0,96462080000.0
31681358000.0,76571724600.0
67334463200.0,86998359000.0
32583539280.0,86998359000.0
2464313000.0,3358928000.0
69733700000.0,76351414272.0
35795836320.0,86998359000.0
1890000000.0,1920000000.0
32371932000.0,89379200000.0
64984164500.0,96462080000.0
1527908000.0,2420000000.0
1057988359.0,1728000000.0
1771056000.0,2563000000.0
58791088340.0,76608000000.0
71312154000.0,96462080000.0
1335600000.0,1920000000.0
37908000000.0,67493744640.0
71682810000.0,86998359000.0
64447750000.0,96462080000.0
3937428000.0,12831088200.0
1713800000.0,1920000000.0
38657063000.0,76351414272.0
18705000000.0,96462080000.0
21912000000.0,86998359000.0
63678488700.0,86998359000.0
35206900000.0,96462080000.0
861284000.0,2400000000.0
27350000000.0,86998359000.0
14132426000.0,66869369500.0
6240000.0,8019000.0
1799370000.0,2256000000.0
69030660000.0,76351414272.0
35795836320.0,96462080000.0
47112780000.0,96462080000.0
26779000000.0,86496000000.0
94500000.0,135000000.0
1564992000.0,1920000000.0
37937209704.0,96462080000.0
34461000000.0,96462080000.0
9508800000.0,54880000000.0
1226880000.0,3029000000.0
4651082125.0,12176972500.0
19733240000.0,67493744640.0
1757728000.0,1920000000.0
13012503240.0,86998359000.0
37310625000.0,86998359000.0
44751702000.0,96462080000.0
1226880000.0,3029000000.0
18432000000.0,48440044800.0
2464313000.0,3059290000.0
57430500000.0,76351414272.0
2516449000.0,3059290000.0
1525069063.0,1920000000.0
1993568000.0,2208000000.0
49220000000.0,86496000000.0
1226880000.0,3029000000.0
19733240000.0,67493744640.0
48960000000.0,96462080000.0
42828030000.0,67493744640.0
45771500000.0,96462080000.0
4651082125.0,12176972500.0
71245656000.0,86998359000.0
49220000000.0,86496000000.0
5357536000.0,12831088200.0
35795836320.0,66833000000.0
26779000000.0,86496000000.0
29330766000.0,86998359000.0
8760496000.0,21008260000.0
26940000000.0,96462080000.0
27350000000.0,86998359000.0
297600000.0,1920000000.0
16336651740.0,38836800000.0
31465847660.0,86998359000.0
63780062680.0,86998359000.0
62740760000.0,96462080000.0
35106900000.0,86998359000.0
27332340000.0,57134000000.0
64447750000.0,96462080000.0
8760496000.0,86998359000.0
8760496000.0,38836800000.0
1335600000.0,1920000000.0
56955822000.0,66861000000.0
66856200000.0,78948401152.0
45032154000.0,96462080000.0
1761156000.0,2563000000.0
56418360000.0,96462080000.0
63724872000.0,76608000000.0
32371932000.0,89379200000.0
62208000000.0,78948401152.0
24391510880.0,86998359000.0
12303000000.0,21008260000.0
8927622000.0,33195925728.0
16743011640.0,86998359000.0
74130517531.0,76351414272.0
60624000000.0,96462080000.0
61193088000.0,86998359000.0
13142000000.0,96462080000.0
77796000000.0,86998359000.0
79200000000.0,96462080000.0
1110910433.0,1728000000.0
47498927000.0,96462080000.0
63788568380.0,76608000000.0
1059368791.0,1728000000.0
62840000000.0,86998359000.0
87080000000.0,96462080000.0
18787922400.0,48440044800.0
18734240000.0,96462080000.0
6806000000.0,38836800000.0
1890000000.0,1920000000.0
2464313000.0,3059290000.0
38045125000.0,89379200000.0
20241760000.0,67720138752.0
1240632000.0,1728000000.0
63260000000.0,81333875000.0
63200000000.0,86496000000.0
